ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
596894251,Audio,Ocellated Turkey,Meleagris ocellata,,Delbert Penner,2023-05-13,2023,5,13,738,Belize,BZ-OW,Orange Walk,,"Busby Camp, Orange Walk District, BZ (17.457, -88.992)",17.4571867,-88.9921114,"","",Not Used,"","",,,Samsung Galaxy S9 Smartphone,,,,S137458632,"",,,,,Meleagris ocellata,ocetur1,Species,1230,,3.50,2,"",,
549006181,Audio,Ocellated Turkey,Meleagris ocellata,Nyctidromus albicollis -- Common Pauraque,Carl Winstead,2023-03-17,2023,3,17,545,Belize,BZ-OW,Orange Walk,,Chan Chich Lodge,17.5391533,-89.1112018,"","",Not Used,"","",,,"iPhone 12 Pro, Merlin app",,,,S131092154,"",,,Amplification applied.,,Meleagris ocellata,ocetur1,Species,1230,,3.00,2,"",,
466146301,Audio,Ocellated Turkey,Meleagris ocellata,,Laura Wilson,2022-03-15,2022,3,15,630,Guatemala,GT-PE,Petén,,"PN Tikal--parqueo, area de camping y restaurantes",17.2247542,-89.6110902,"",,Unspecified,"","",,,,,,,S105051684,"",,,,,Meleagris ocellata,ocetur1,Species,1230,,3.67,3,,,
448189161,Audio,Ocellated Turkey,Meleagris ocellata,,Louis Peña,2022-05-09,2022,5,9,500,Belize,BZ-OW,Orange Walk,,"Belize Maya Forest, Busby Camp",17.4569189,-88.9926236,"",,Unspecified,"","",,,,,,,S109951972,"",,,,,Meleagris ocellata,ocetur1,Species,1230,,3.00,2,,,
448188991,Audio,Ocellated Turkey,Meleagris ocellata,,Louis Peña,2022-05-09,2022,5,9,500,Belize,BZ-OW,Orange Walk,,"Belize Maya Forest, Busby Camp",17.4569189,-88.9926236,"",,Unspecified,"","",,,,,,,S109951972,"",,,,,Meleagris ocellata,ocetur1,Species,1230,,2.00,2,,,
440401301,Audio,Ocellated Turkey,Meleagris ocellata,,Barry Reed,2022-04-04,2022,4,4,533,Guatemala,GT-PE,Petén,,PN Tikal--sitio arqueológico,17.2224800,-89.6230700,"",,Unspecified,"","",,,,,,,S106304503,"",,,,,Meleagris ocellata,ocetur1,Species,1230,,3.00,1,,,
430242191,Audio,Ocellated Turkey,Meleagris ocellata,,José  Paz,2022-03-27,2022,3,27,619,Mexico,MX-CAM-001,Campeche,Calakmul,Reserva de la Biósfera Calakmul--Sendero del Águila Elegante,18.4093560,-89.8987454,"",,Unspecified,"","",,,,,,,S105745185,"",,,,,Meleagris ocellata,ocetur1,Species,1230,,3.00,1,,,
401364421,Audio,Ocellated Turkey,Meleagris ocellata,,Francis Canto Jr,2022-01-01,2022,1,1,601,Belize,BZ-OW,Orange Walk,,Chan Chich Lodge,17.5391533,-89.1112018,"","",Not Used,"","",,,Zoom H1N,Rode Video Mic Pro,Wind Filter,,S99885016,"",,,High pitched whistle. ,,Meleagris ocellata,ocetur1,Species,1230,,2.00,1,"",,
389118361,Audio,Ocellated Turkey,Meleagris ocellata,,Bruce Christensen,2021-11-18,2021,11,18,913,Belize,BZ-CY,Cayo,,Caracol National Monument,16.7624500,-89.1152500,"",,Unspecified,"","",,,,,,,S97758621,"",,,,,Meleagris ocellata,ocetur1,Species,1230,,2.00,1,,,
225464801,Audio,Ocellated Turkey,Meleagris ocellata,,Rob Bierregaard,1997-03-16,1997,3,16,1430,Guatemala,GT-PE,Petén,,PN Tikal--sitio arqueológico Tikal (Gran Plaza),17.2220733,-89.6236164,"",,Unspecified,"","",,,,,,,S66948692,"",,,,,Meleagris ocellata,ocetur1,Species,1230,,4.25,4,,,
